iter	Passed	Remaining
401	12959	19277
402	12987	19239
403	13004	19184
404	13024	19134
405	13049	19091
406	13077	19053
407	13106	19017
408	13137	18984
409	13192	18983
410	13224	18951
411	13252	18913
412	13280	18875
413	13309	18839
414	13328	18788
415	13358	18753
416	13387	18716
417	13415	18679
418	13444	18643
419	13473	18605
420	13501	18569
421	13519	18517
422	13548	18481
423	13576	18443
424	13605	18407
425	13642	18382
426	13678	18355
427	13710	18323
428	13747	18297
429	13780	18266
430	13811	18233
431	13841	18198
432	13874	18168
433	13905	18135
434	13934	18099
435	13963	18063
436	13992	18026
437	14021	17991
438	14052	17957
439	14082	17923
440	14111	17887
441	14139	17850
442	14169	17816
443	14212	17797
444	14250	17773
445	14281	17739
446	14310	17704
447	14328	17655
448	14356	17617
449	14385	17582
450	14417	17550
451	14434	17500
452	14465	17467
453	14495	17433
454	14525	17398
455	14554	17363
456	14584	17329
457	14613	17293
458	14643	17259
459	14675	17228
460	14709	17198
461	14745	17171
462	14766	17127
463	14803	17100
464	14829	17061
465	14864	17033
466	14895	17001
467	14926	16967
468	14957	16934
469	14982	16895
470	15011	16860
471	15041	16826
472	15070	16790
473	15100	16757
474	15130	16723
475	15160	16689
476	15189	16654
477	15218	16619
478	15278	16618
479	15308	16584
480	15338	16550
481	15367	16514
482	15396	16480
483	15425	16445
484	15453	16409
485	15483	16375
486	15511	16339
487	15540	16304
488	15569	16270
489	15597	16234
490	15625	16198
491	15655	16164
492	15686	16132
493	15721	16103
494	15756	16074
495	15773	16028
496	15809	16000
497	15842	15969
498	15875	15938
499	15907	15907
500	15936	15872
501	15964	15837
502	15994	15803
503	16023	15769
504	16052	15734
505	16081	15699
506	16110	15665
507	16140	15632
508	16169	15597
509	16197	15562
510	16226	15527
511	16287	15523
512	16319	15492
513	16340	15449
514	16368	15415
515	16398	15381
516	16428	15347
517	16457	15313
518	16486	15279
519	16514	15244
520	16543	15210
521	16571	15174
522	16601	15141
523	16618	15096
524	16647	15062
525	16676	15027
526	16706	14994
527	16745	14969
528	16780	14940
529	16815	14912
530	16836	14870
531	16868	14839
532	16901	14808
533	16930	14774
534	16960	14741
535	16988	14706
536	17017	14672
537	17046	14638
538	17076	14605
539	17105	14570
540	17134	14537
541	17165	14504
542	17191	14468
543	17220	14434
544	17249	14401
545	17280	14368
546	17347	14366
547	17375	14331
548	17398	14293
549	17426	14257
550	17456	14224
551	17485	14191
552	17513	14156
553	17541	14121
554	17562	14081
555	17583	14041
556	17613	14008
557	17642	13974
558	17670	13940
559	17697	13905
560	17725	13871
561	17760	13841
562	17797	13814
563	17832	13785
564	17867	13756
565	17887	13715
566	17919	13684
567	17947	13650
568	17977	13617
569	17999	13578
570	18029	13545
571	18058	13512
572	18089	13479
573	18117	13446
574	18144	13411
575	18160	13368
576	18174	13323
577	18206	13292
578	18236	13259
579	18266	13227
580	18295	13193
581	18325	13161
582	18398	13159
583	18430	13128
584	18460	13095
585	18489	13062
586	18518	13029
587	18540	12990
588	18570	12958
589	18600	12925
590	18629	12892
591	18660	12860
592	18689	12827
593	18718	12794
594	18747	12760
595	18778	12729
596	18816	12701
597	18854	12674
598	18886	12643
599	18920	12613
600	18951	12581
601	18967	12539
602	18996	12506
603	19025	12473
604	19054	12440
605	19084	12407
606	19113	12375
607	19143	12342
608	19158	12300
609	19188	12267
610	19219	12236
611	19248	12203
612	19276	12169
613	19304	12135
614	19333	12103
615	19363	12070
616	19435	12064
617	19462	12030
618	19492	11997
619	19521	11964
620	19551	11932
621	19578	11898
622	19606	11864
623	19634	11830
624	19662	11797
625	19691	11764
626	19711	11726
627	19731	11687
628	19752	11650
629	19785	11620
630	19816	11588
631	19837	11550
632	19876	11524
633	19912	11495
634	19949	11467
635	19985	11438
636	20014	11405
637	20035	11368
638	20056	11330
639	20085	11298
640	20115	11265
641	20136	11228
642	20162	11194
643	20189	11160
644	20217	11127
645	20247	11095
646	20276	11062
647	20305	11029
648	20333	10997
649	20363	10965
650	20393	10932
651	20459	10920
652	20493	10889
653	20523	10858
654	20554	10826
655	20583	10793
656	20612	10761
657	20640	10728
658	20668	10695
659	20698	10662
660	20727	10630
661	20759	10599
662	20793	10569
663	20824	10537
664	20854	10505
665	20884	10473
666	20920	10444
667	20954	10414
668	20989	10384
669	21025	10355
670	21054	10323
671	21082	10290
672	21111	10257
673	21141	10225
674	21166	10191
675	21196	10159
676	21216	10122
677	21244	10089
678	21274	10057
679	21304	10025
680	21333	9993
681	21363	9961
682	21391	9928
683	21414	9893
684	21442	9860
685	21501	9841
686	21535	9811
687	21564	9779
688	21585	9743
689	21613	9710
690	21641	9677
691	21671	9645
692	21699	9613
693	21728	9580
694	21762	9550
695	21792	9518
696	21824	9487
697	21853	9455
698	21883	9423
699	21912	9391
700	21945	9360
701	21978	9330
702	22015	9300
703	22048	9270
704	22076	9237
705	22106	9206
706	22135	9173
707	22166	9142
708	22196	9110
709	22224	9077
710	22254	9045
711	22282	9012
712	22311	8980
713	22342	8949
714	22371	8917
715	22401	8885
716	22432	8854
717	22463	8822
718	22491	8790
719	22575	8779
720	22605	8747
721	22635	8715
722	22664	8683
723	22693	8651
724	22724	8619
725	22755	8588
726	22786	8556
727	22818	8525
728	22846	8493
729	22876	8461
730	22905	8428
731	22933	8396
732	22963	8364
733	22985	8329
734	23023	8300
735	23056	8270
736	23092	8240
737	23129	8211
738	23153	8177
739	23195	8149
740	23234	8121
741	23257	8086
742	23297	8058
743	23332	8028
744	23361	7996
745	23399	7967
746	23439	7938
747	23474	7908
748	23502	7875
749	23531	7843
750	23597	7824
751	23639	7796
752	23656	7759
753	23686	7728
754	23710	7694
755	23742	7662
756	23774	7631
757	23807	7600
758	23837	7568
759	23866	7536
760	23883	7500
761	23911	7468
762	23940	7436
763	23968	7403
764	23997	7371
765	24026	7339
766	24060	7308
767	24098	7279
768	24135	7250
769	24167	7218
770	24197	7187
771	24227	7155
772	24257	7123
773	24287	7091
774	24307	7057
775	24336	7024
776	24364	6992
777	24394	6960
778	24424	6929
779	24452	6896
780	24483	6865
781	24514	6834
782	24545	6802
783	24573	6770
784	24602	6738
785	24691	6722
786	24724	6691
787	24756	6660
788	24780	6627
789	24807	6594
790	24836	6562
791	24866	6530
792	24896	6498
793	24925	6466
794	24954	6434
795	24983	6402
796	25013	6371
797	25042	6339
798	25071	6307
799	25104	6276
800	25130	6243
801	25167	6213
802	25204	6183
803	25231	6150
804	25261	6119
805	25291	6087
806	25319	6055
807	25335	6020
808	25361	5987
809	25390	5955
810	25418	5923
811	25446	5891
812	25474	5859
813	25502	5827
814	25517	5792
815	25544	5759
816	25572	5728
817	25601	5696
818	25629	5664
819	25657	5632
820	25755	5615
821	25792	5585
822	25822	5553
823	25852	5521
824	25882	5490
825	25911	5458
826	25939	5426
827	25968	5394
828	25998	5362
829	26028	5331
830	26058	5299
831	26089	5267
832	26122	5237
833	26151	5205
834	26168	5171
835	26199	5139
836	26226	5107
837	26259	5076
838	26298	5046
839	26335	5016
840	26366	4984
841	26398	4953
842	26427	4921
843	26456	4890
844	26481	4857
845	26510	4825
846	26539	4794
847	26568	4762
848	26599	4730
849	26628	4699
850	26657	4667
851	26691	4636
852	26747	4609
853	26808	4583
854	26838	4551
855	26866	4519
856	26889	4486
857	26920	4455
858	26951	4423
859	26980	4392
860	26999	4358
861	27028	4327
862	27058	4295
863	27087	4263
864	27117	4232
865	27148	4200
866	27177	4169
867	27209	4137
868	27243	4106
869	27280	4076
870	27317	4045
871	27355	4015
872	27383	3983
873	27412	3951
874	27440	3920
875	27468	3888
876	27495	3856
877	27518	3823
878	27546	3791
879	27566	3759
880	27594	3727
881	27622	3695
882	27653	3664
883	27687	3633
884	27712	3601
885	27740	3569
886	27768	3537
887	27859	3513
888	27888	3482
889	27917	3450
890	27945	3418
891	27974	3387
892	28004	3355
893	28032	3323
894	28061	3292
895	28090	3260
896	28120	3228
897	28149	3197
898	28178	3165
899	28199	3133
900	28227	3101
901	28256	3069
902	28291	3039
903	28327	3008
904	28356	2976
905	28392	2945
906	28422	2914
907	28452	2882
908	28481	2851
909	28510	2819
910	28538	2788
911	28565	2756
912	28595	2724
913	28624	2693
914	28649	2661
915	28679	2630
916	28709	2598
917	28741	2567
918	28770	2535
919	28799	2504
920	28841	2473
921	28922	2446
922	28952	2415
923	28982	2383
924	29011	2352
925	29040	2320
926	29065	2288
927	29096	2257
928	29126	2226
929	29154	2194
930	29183	2162
931	29212	2131
932	29241	2099
933	29269	2068
934	29286	2035
935	29315	2004
936	29347	1973
937	29383	1942
938	29417	1911
939	29451	1879
940	29481	1848
941	29509	1816
942	29540	1785
943	29568	1754
944	29595	1722
945	29624	1691
946	29654	1659
947	29678	1627
948	29710	1596
949	29740	1565
950	29770	1533
951	29800	1502
952	29829	1471
953	29861	1439
954	29889	1408
955	29987	1380
956	30020	1348
957	30048	1317
958	30075	1285
959	30103	1254
960	30133	1222
961	30162	1191
962	30191	1159
963	30220	1128
964	30248	1097
965	30279	1065
966	30308	1034
967	30337	1002
968	30364	971
969	30392	939
970	30432	908
971	30469	877
972	30504	846
973	30539	815
974	30575	783
975	30603	752
976	30633	721
977	30668	689
978	30696	658
979	30721	626
980	30750	595
981	30779	564
982	30794	532
983	30823	501
984	30850	469
985	30880	438
986	30901	407
987	30931	375
988	30950	344
989	31026	313
990	31075	282
991	31105	250
992	31134	219
993	31179	188
994	31208	156
995	31236	125
996	31264	94
997	31292	62
998	31319	31
999	31336	0
